52	84
0	-135.764	253.112
1	-124.26		242.106
2	-133.746	192.374
3	-125.181	203.615
4	-139.012	235.48
5	-114.553	255.538
6	-117.383	242.123
7	-124.098	258.288
8	-109.597	235.032
9	-114.699	219.473
10	-141.269	245.046
11	-104.331	242.371
12	-133.569	286.269
13	-123.315	277.497
14	-98.0591	218.885
15	-103.065	209.249
16	-97.6019	232.002
17	-104.764	227.93
18	-89.9659	217.538
19	-111.243	201.883
20	-105.782	215.929
21	-96.3977	226.003
22	-97.9862	200.901
23	-78.8835	225.308
24	-90.3514	236.091
25	-117.767	232.718
26	-114.42		224.798
27	-136.333	222.043
28	-122.444	228.514
31	-97.4791	241.611
32	-110.351	277.334
33	-117.777	292.69
35	-94.4122	211.85
29	-88.3097	226.526
36	-110.615	242.037
38	-88.4545	248.603
39	-103.356	298.492
40	-116.839	305.342
34	-131.979	243.096
42	-100.976	287.547
45	-82.2028	243.344
46	-96.0201	256.972
37	-103.425	254.683
47	-88.0706	256.064
48	-110.226	295.199
44	-97.4778	278.521
49	-106.546	309.269
43	-76.3178	258.2
30	-127.539	212.622
50	-74.0048	237.243
41	-105.291	188.236
51	-115.94		188.128
0 1 0.312
2 3 10.786
1 4 0.222
1 5 1.035
1 6 1.414
1 7 1.24
1 8 0.814
1 9 19.532
1 10 0.352
1 11 4.593
12 13 2.622
14 15 0.207
14 16 12.098
14 17 13.941
15 18 7.791
15 19 38.946
20 21 19.775
20 22 0.345
23 24 5.337
25 26 0.276
27 28 0.645
8 20 19.787
8 16 8.352
8 28 1.578
8 24 10.459
8 26 5.005
21 31 20.741
13 32 4.737
13 33 1.424
17 35 2.091
17 20 14.409
17 18 7.13
17 28 6.214
17 24 6.437
17 25 1.315
17 26 1.176
17 29 3.282
17 36 2.478
11 24 5.751
11 38 3.235
11 17 4.718
33 39 1.817
33 40 2.035
6 7 0.327
6 28 0.97
6 25 5.176
6 8 0.612
6 17 5.725
6 34 0.802
6 11 6.007
39 42 0.699
16 24 3.655
16 29 0.135
16 17 3.286
31 45 0.268
31 46 0.268
31 37 3.375
31 47 2.708
32 48 1.712
32 44 2.329
32 42 1.595
48 49 3.201
7 13 31.13
38 43 1.643
9 15 5.513
9 20 0.437
9 31 2.648
9 30 0.124
9 17 14.774
9 19 42.03
5 32 28.338
5 8 0.359
5 7 0.316
18 23 0.779
40 48 2.34
40 49 2.529
24 38 7.706
24 31 9.827
24 45 10.045
24 50 0.092
3 9 59.812
19 41 26.19
19 20 42.057
19 51 14.125
