#headers: 	rowN	latency	hop
RngRun3-CDNConsumer-duration30-freq190-multicasttrue-producerN15-zipfs099	2943744.0	174814.898186	7.82507038656
RngRun3-CDNIPConsumer-duration30-freq170-multicastfalse-producerN15-zipfs099	2494718.0	199290.322657	7.77441939329
RngRun3-CDNIPConsumer-duration30-freq100-multicastfalse-producerN15-zipfs099	1582974.0	151541.252589	7.79805606409
RngRun3-CDNConsumer-duration30-freq120-multicasttrue-producerN15-zipfs099	1954946.0	126708.234072	7.72838124429
RngRun3-CDNIPConsumer-duration30-freq140-multicastfalse-producerN15-zipfs099	2124896.0	171442.301694	7.76413339759
RngRun3-CDNConsumer-duration30-freq170-multicasttrue-producerN15-zipfs099	2679022.0	147235.489318	7.7846034859
RngRun3-CDNConsumer-duration30-freq80-multicasttrue-producerN15-zipfs099	1341414.0	111320.373097	7.62349580368
RngRun3-CDNIPConsumer-duration30-freq110-multicastfalse-producerN15-zipfs099	1725544.0	150698.377138	7.78359752055
RngRun3-CDNConsumer-duration30-freq70-multicasttrue-producerN15-zipfs099	1181106.0	105473.431949	7.63586333487
RngRun3-CDNConsumer-duration30-freq160-multicasttrue-producerN15-zipfs099	2543244.0	138841.815197	7.77283029076
RngRun3-CDNIPConsumer-duration30-freq80-multicastfalse-producerN15-zipfs099	1299762.0	138975.233427	7.82909794255
RngRun3-CDNConsumer-duration30-freq130-multicasttrue-producerN15-zipfs099	2104610.0	128248.727895	7.74597478868
RngRun3-CDNIPConsumer-duration30-freq160-multicastfalse-producerN15-zipfs099	2373750.0	197101.095849	7.77676166403
RngRun3-CDNIPConsumer-duration30-freq70-multicastfalse-producerN15-zipfs099	1155378.0	134879.219754	7.80683378081
RngRun3-CDNIPConsumer-duration30-freq200-multicastfalse-producerN15-zipfs099	2811832.0	233863.42115	7.75453156519
RngRun3-CDNConsumer-duration30-freq90-multicasttrue-producerN15-zipfs099	1499548.0	121583.288128	7.68373403185
RngRun3-CDNConsumer-duration30-freq140-multicasttrue-producerN15-zipfs099	2254200.0	130804.445202	7.76361902227
RngRun3-CDNIPConsumer-duration30-freq180-multicastfalse-producerN15-zipfs099	2600102.0	214331.585249	7.7893128808
RngRun3-CDNConsumer-duration30-freq100-multicasttrue-producerN15-zipfs099	1652260.0	123806.102506	7.68690520862
RngRun3-CDNConsumer-duration30-freq40-multicasttrue-producerN15-zipfs099	686932.0	105338.673161	7.52641018325
RngRun3-CDNConsumer-duration30-freq110-multicasttrue-producerN15-zipfs099	1803574.0	125830.535515	7.69826023218
RngRun3-CDNConsumer-duration30-freq200-multicasttrue-producerN15-zipfs099	3060280.0	197934.286997	7.84421752258
RngRun3-CDNConsumer-duration30-freq60-multicasttrue-producerN15-zipfs099	1017880.0	105140.980824	7.62933744646
RngRun3-CDNIPConsumer-duration30-freq150-multicastfalse-producerN15-zipfs099	2243224.0	193615.977287	7.7443162163
RngRun3-CDNIPConsumer-duration30-freq90-multicastfalse-producerN15-zipfs099	1438990.0	153376.367345	7.81686599629
RngRun3-CDNIPConsumer-duration30-freq60-multicastfalse-producerN15-zipfs099	1008872.0	126320.071316	7.83438533332
RngRun3-CDNIPConsumer-duration30-freq130-multicastfalse-producerN15-zipfs099	2004014.0	153684.707648	7.76646670133
RngRun3-CDNConsumer-duration30-freq180-multicasttrue-producerN15-zipfs099	2814302.0	156958.207549	7.80267860379
RngRun3-CDNConsumer-duration30-freq50-multicasttrue-producerN15-zipfs099	852998.0	105582.503351	7.60020773788
RngRun3-CDNConsumer-duration30-freq150-multicasttrue-producerN15-zipfs099	2396552.0	134544.462138	7.75180759691
RngRun3-CDNIPConsumer-duration30-freq40-multicastfalse-producerN15-zipfs099	684992.0	110941.495267	7.85079533776
RngRun3-CDNIPConsumer-duration30-freq120-multicastfalse-producerN15-zipfs099	1867068.0	149639.32374	7.76763567262
RngRun3-CDNIPConsumer-duration30-freq50-multicastfalse-producerN15-zipfs099	850320.0	110672.050383	7.84842882679
RngRun3-CDNIPConsumer-duration30-freq190-multicastfalse-producerN15-zipfs099	2719460.0	214991.634112	7.80270200702
